2024-03-09 17:14:19,225 INFO    Thread-3 (_run_job):185499 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2024-03-09 17:14:19,226 INFO    Thread-3 (_run_job):185499 [wandb_setup.py:_flush():76] Configure stats pid to 185499
2024-03-09 17:14:19,226 INFO    Thread-3 (_run_job):185499 [wandb_setup.py:_flush():76] Loading settings from /home/sandeep/.config/wandb/settings
2024-03-09 17:14:19,226 INFO    Thread-3 (_run_job):185499 [wandb_setup.py:_flush():76] Loading settings from /home/sandeep/Documents/IITM/Deep Learning/wandb/settings
2024-03-09 17:14:19,226 INFO    Thread-3 (_run_job):185499 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'test', 'entity': 'ee23s059', 'root_dir': '/home/sandeep/Documents/IITM/Deep Learning', 'sweep_id': 'd0ue4m28', 'run_id': 'ok8o8xw1', 'sweep_param_path': '/home/sandeep/Documents/IITM/Deep Learning/wandb/sweep-d0ue4m28/config-ok8o8xw1.yaml'}
2024-03-09 17:14:19,226 INFO    Thread-3 (_run_job):185499 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-03-09 17:14:19,226 INFO    Thread-3 (_run_job):185499 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': '/home/sandeep/Documents/IITM/Deep Learning/main.py', 'program': '/home/sandeep/Documents/IITM/Deep Learning/main.py'}
2024-03-09 17:14:19,226 INFO    Thread-3 (_run_job):185499 [wandb_init.py:_log_setup():526] Logging user logs to /home/sandeep/Documents/IITM/Deep Learning/wandb/run-20240309_171419-ok8o8xw1/logs/debug.log
2024-03-09 17:14:19,226 INFO    Thread-3 (_run_job):185499 [wandb_init.py:_log_setup():527] Logging internal logs to /home/sandeep/Documents/IITM/Deep Learning/wandb/run-20240309_171419-ok8o8xw1/logs/debug-internal.log
2024-03-09 17:14:19,226 INFO    Thread-3 (_run_job):185499 [wandb_init.py:init():566] calling init triggers
2024-03-09 17:14:19,226 INFO    Thread-3 (_run_job):185499 [wandb_init.py:init():573] wandb.init called with sweep_config: {'activation_para': 'tanh', 'batch': 32, 'epochs': 3, 'lr': 0.001, 'n_hidden_layers': 4, 'optimiser': 'vanilla_GD', 's_hidden_layers': 64, 'weight_decay': 0, 'weight_para': 'random'}
config: {}
2024-03-09 17:14:19,226 INFO    Thread-3 (_run_job):185499 [wandb_init.py:init():616] starting backend
2024-03-09 17:14:19,226 INFO    Thread-3 (_run_job):185499 [wandb_init.py:init():620] setting up manager
2024-03-09 17:14:19,232 INFO    Thread-3 (_run_job):185499 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-03-09 17:14:19,233 INFO    Thread-3 (_run_job):185499 [wandb_init.py:init():628] backend started and connected
2024-03-09 17:14:19,243 INFO    Thread-3 (_run_job):185499 [wandb_run.py:_config_callback():1343] config_cb None None {'activation_para': 'tanh', 'batch': 32, 'epochs': 3, 'lr': 0.001, 'n_hidden_layers': 4, 'optimiser': 'vanilla_GD', 's_hidden_layers': 64, 'weight_decay': 0, 'weight_para': 'random'}
2024-03-09 17:14:19,244 INFO    Thread-3 (_run_job):185499 [wandb_init.py:init():720] updated telemetry
2024-03-09 17:14:19,251 INFO    Thread-3 (_run_job):185499 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-03-09 17:14:20,158 INFO    Thread-3 (_run_job):185499 [wandb_run.py:_on_init():2262] communicating current version
2024-03-09 17:14:20,369 INFO    Thread-3 (_run_job):185499 [wandb_run.py:_on_init():2271] got version response upgrade_message: "wandb version 0.16.4 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-03-09 17:14:20,369 INFO    Thread-3 (_run_job):185499 [wandb_init.py:init():804] starting run threads in backend
2024-03-09 17:14:20,423 INFO    Thread-3 (_run_job):185499 [wandb_run.py:_console_start():2241] atexit reg
2024-03-09 17:14:20,423 INFO    Thread-3 (_run_job):185499 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-03-09 17:14:20,423 INFO    Thread-3 (_run_job):185499 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-03-09 17:14:20,423 INFO    Thread-3 (_run_job):185499 [wandb_run.py:_redirect():2186] Redirects installed.
2024-03-09 17:14:20,424 INFO    Thread-3 (_run_job):185499 [wandb_init.py:init():847] run started, returning control to user process
2024-03-09 17:14:20,434 INFO    Thread-3 (_run_job):185499 [wandb_run.py:_finish():1970] finishing run ee23s059/test/ok8o8xw1
2024-03-09 17:14:20,434 INFO    Thread-3 (_run_job):185499 [wandb_run.py:_atexit_cleanup():2210] got exitcode: 1
2024-03-09 17:14:20,434 INFO    Thread-3 (_run_job):185499 [wandb_run.py:_restore():2193] restore
2024-03-09 17:14:20,435 INFO    Thread-3 (_run_job):185499 [wandb_run.py:_restore():2199] restore done
2024-03-09 17:14:27,495 INFO    Thread-3 (_run_job):185499 [wandb_run.py:_footer_history_summary_info():3866] rendering history
2024-03-09 17:14:27,495 INFO    Thread-3 (_run_job):185499 [wandb_run.py:_footer_history_summary_info():3898] rendering summary
2024-03-09 17:14:27,499 INFO    Thread-3 (_run_job):185499 [wandb_run.py:_footer_sync_info():3825] logging synced files
